814,OFF 5TH,CJ,COSTA MESA,901 S COAST DR,COSTA MESA,CA,92626,597
816,OFF 5TH,BV,BEVERLY CONNECT O5,100 N LA CIENEGA BLVD,LOS ANGELES,CA,90048,597
817,OFF 5TH,BB,BOCA RATON O5,8903 N GLADES RD,BOCA RATON,FL,33434,575
818,OFF 5TH,SZ,SAN FRANCISCO O5,"901 MARKET ST, STE 110",SAN FRANCISCO,CA,94103,597
819,OFF 5TH,GB,GREENBURGH O5,29 TARRYTOWN ROAD,WHITE PLAINS,NY,10607,575
820,OFF 5TH,VN,LAS VEGAS N O5,505 S GRAND CENTRAL PARKWAY,LAS VEGAS,NV,89106,597
821,OFF 5TH,VS,LAS VEGAS S O5,6521 LAS VEGAS BLVD SOUTH,LAS VEGAS,NV,89119,597
822,OFF 5TH,RC,ROSEVILLE O5,1252 GALLERIA BLVD,ROSEVILLE,CA,95678,597
823,OFF 5TH,GL,GLENDALE O5,6800 NORTH 95TH AVENUE,GLENDALE,AZ,85305,597
824,OFF 5TH,CK,STAMFORD O5,140 ATLANTIC STREET,STAMFORD,CT,6901,575
825,OFF 5TH,AI,AURORA CHICAGO O5,1650 PREMIUM OUTLETS BLVD,AURORA,IL,60504,575
,,,,,,Servicing,,
,,,,,States,,,
,,,,For all new stores the following,,DC,,
,,,,store state to servicing DC guide,"AZ, CA, CO, HI, NV, OK,",,,
,,Saks Fifth Avenue / Saks OFF FIFTH,,,,597,,
,,,,can be used:,"OR, TX, WA",,,
,,Store to DC Servicing List,,,All other states,575,,
826,OFF 5TH,AX,AUSTIN O5,9503 RESEARCH BLVD,AUSTIN,TX,78759,597
827,OFF 5TH,FS,FRISCO O5,3251 PRESTON ROAD,FRISCO,TX,75034,597
828,OFF 5TH,TF,TAMPA O5,2416 GRAND CYPRESS DR.,LUTZ,FL,33559,575
829,OFF 5TH,DC,CHRISTIANA O5,2500 FASHION CENTER BLVD,NEWARK,DE,19702,575
830,OFF 5TH,VC,VACAVILLE O5,1680 E MONTE VISTA AVE,VACAVILLE,CA,95688,597
831,OFF 5TH,CP,CERRITOS O5,11113 183RD STREET,CERRITOS,CA,90703,597
832,OFF 5TH,XS,SHREWSBURY L AND T,260 SHREWSBURY PLAZA,SHREWSBURY,NJ,7702,575
833,OFF 5TH,XA,GREAT LAKES L AND T,4000 BALDWIN ROAD,AUBURN HILLS,MI,48326,575
834,OFF 5TH,XW,WESTBURY L AND T,1504 OLD COUNTRY ROAD,WESTBURY,NY,11590,575
835,OFF 5TH,XE,ELIZABETH L AND T,651 KAPKOWSKI ROAD,ELIZABETH,NJ,7201,575
836,OFF 5TH,XP,PARAMUS FIND,180 NJ ROUTE 4 WEST,PARAMUS,NJ,7652,575
837,OFF 5TH,FH,FARMINGTON HILLS O5,31005 ORCHARD LAKE ROAD,FARMINGTON HILLS,MI,48334,575
838,OFF 5TH,BS,SANTA BARBARA O5,1001 STATE STREET,SANTA BARBARA,CA,93101,597
839,OFF 5TH,SH,SHREWSBURY O5,260 SHREWSBURY PLAZA,SHREWSBURY,NJ,7702,575
840,OFF 5TH,MM,MINNEAPOLIS O5,600 NICOLLET MALL,MINNEAPOLIS,MN,55402,575
841,OFF 5TH,CQ,STATE STREET,6 S STATE STREET,CHICAGO,IL,60603,575
842,OFF 5TH,BU,BUCKHEAD O5,1 BUCKHEAD LOOP,ATLANTA,GA,30326,575
843,OFF 5TH,BK,BROOKLYN O5,850 THIRD AVENUE,BROOKLYN,NY,11232,575
844,OFF 5TH,AZ,SCOTTSDALE O5,16215 N SCOTTSDALE ROAD,SCOTTSDALE,AZ,85254,597
845,OFF 5TH,WD,WASHINGTON DC O5,555 12TH STREET NW,WASHINGTON,DC,20004,575
846,OFF 5TH,WH,WOODLAND HILLS O5,21500 VICTORY BLVD,WOODLAND HILLS,CA,91367,597
847,OFF 5TH,PY,PLYMOUTH MTG O5,2400 CHEMICAL ROAD,PLYMOUTH MEETING,PA,19462,575
848,OFF 5TH,PD,PALM DESERT O5,73411 HIGHWAY 111,PALM DESERT,CA,92260,597
849,OFF 5TH,VA,SPRINGFIELD O5,6502 SPRINGFIELD MALL,SPRINGFIELD,VA,22150,575
850,OFF 5TH,LP,LINCOLN PARK O5,"1457 N HALSTED STREET, B201",CHICAGO,IL,60642,575
851,OFF 5TH,RM,ROCKVILLE O5,1675 ROCKVILLE PIKE,ROCKVILLE,MD,20852,575
852,OFF 5TH,CY,CLARKSBURG O5,22705 CLARKSBURG ROAD,CLARKSBURG,MD,20871,575
853,OFF 5TH,PN,PITTSBURGH NORTH O5,8029 MCKNIGHT ROAD,PITTSBURGH,PA,15237,575
854,OFF 5TH,BE,BRAINTREE O5,200 GROSSMAN DRIVE,BRAINTREE,MA,2184,575
856,OFF 5TH,FX,FAIRFAX O5,12995 FAIR LAKES SHOPPING CTR,FAIRFAX,VA,22033,575
